Rank,Model,Epoch,Dataset,Excluded_From_Ranking,Is_Single_Class,Brier_Score,F1,Accuracy,Precision,Recall,Threshold,TP,TN,FP,FN,Total_Samples
1,Resnet_34,1,CalibrationDataset,Yes,No,0.9253,0.1375,0.0927,0.1079,0.1893,0.99720400,117,33,967,501,1618
1,Resnet_34,1,DronePrint,No,Yes,0.0000,N/A,1.0000,N/A,N/A,0.99720400,12,0,0,0,12
1,Resnet_34,1,Emo,No,Yes,1.0000,N/A,0.0000,N/A,N/A,0.99720400,0,0,370,0,370
1,Resnet_34,1,ESC-50,No,Yes,0.9993,N/A,0.0030,N/A,N/A,0.99720400,0,5,1669,0,1674
1,Resnet_34,1,Fusion,Yes,No,0.9639,0.0655,0.0383,0.2378,0.0379,0.99720400,3115,425,9983,78967,92490
1,Resnet_34,1,H-2,No,Yes,0.0000,N/A,1.0000,N/A,N/A,0.99720400,3061,0,0,0,3061
1,Resnet_34,1,S&E,No,No,0.6607,0.4865,0.3214,0.3273,0.9474,0.99720400,18,0,37,1,56
1,Resnet_34,1,Authors,No,No,0.1111,0.9412,0.8889,0.8889,1.0000,0.99720400,24,0,3,0,27
1,Resnet_34,1,UrbanSound,No,Yes,0.9729,N/A,0.0505,N/A,N/A,0.99720400,0,420,7904,0,8324
1,Resnet_34,1,Wonjun_Yi,No,Yes,1.0000,N/A,0.0000,N/A,N/A,0.99720400,0,0,0,78966,78966
